"Date","ADEGLW16O"
2000-01-01,6125
2000-02-01,6215
2000-03-01,6119
2000-04-01,5988
2000-05-01,6034
2000-06-01,6257
2000-07-01,6415
2000-08-01,6331
2000-09-01,6324
2000-10-01,6711
2000-11-01,6651
2000-12-01,6720
2001-01-01,6412
2001-02-01,6510
2001-03-01,6516
2001-04-01,6489
2001-05-01,6510
2001-06-01,6404
2001-07-01,6635
2001-08-01,6556
2001-09-01,6629
2001-10-01,6859
2001-11-01,6864
2001-12-01,6838
2002-01-01,6745
2002-02-01,6594
2002-03-01,6534
2002-04-01,6680
2002-05-01,6641
2002-06-01,6652
2002-07-01,6763
2002-08-01,6679
2002-09-01,6680
2002-10-01,6822
2002-11-01,6802
2002-12-01,6746
2003-01-01,6638
2003-02-01,6844
2003-03-01,6719
2003-04-01,6671
2003-05-01,6812
2003-06-01,7017
2003-07-01,7277
2003-08-01,7080
2003-09-01,7055
2003-10-01,6842
2003-11-01,6735
2003-12-01,6800
2004-01-01,6700
2004-02-01,6913
2004-03-01,6842
2004-04-01,6871
2004-05-01,6869
2004-06-01,7182
2004-07-01,7438
2004-08-01,7347
2004-09-01,7190
2004-10-01,7175
2004-11-01,7155
2004-12-01,7165
2005-01-01,7148
2005-02-01,7353
2005-03-01,7219
2005-04-01,7238
2005-05-01,7154
2005-06-01,7272
2005-07-01,7372
2005-08-01,7431
2005-09-01,7399
2005-10-01,7436
2005-11-01,7530
2005-12-01,7546
2006-01-01,7464
2006-02-01,7667
2006-03-01,7466
2006-04-01,7358
2006-05-01,7272
2006-06-01,7288
2006-07-01,7492
2006-08-01,7611
2006-09-01,7672
2006-10-01,7744
2006-11-01,7654
2006-12-01,7628
2007-01-01,7479
2007-02-01,7445
2007-03-01,7444
2007-04-01,7336
2007-05-01,7211
2007-06-01,7389
2007-07-01,7742
2007-08-01,7733
2007-09-01,7778
2007-10-01,7763
2007-11-01,7496
2007-12-01,7519
2008-01-01,7526
2008-02-01,7601
2008-03-01,7632
2008-04-01,7667
2008-05-01,7636
2008-06-01,7794
2008-07-01,7981
2008-08-01,7908
2008-09-01,7974
2008-10-01,8130
2008-11-01,8119
2008-12-01,7957
2009-01-01,7712
2009-02-01,8061
2009-03-01,7909
2009-04-01,7978
2009-05-01,7838
2009-06-01,7992
2009-07-01,8173
2009-08-01,8220
2009-09-01,8465
2009-10-01,8495
2009-11-01,8472
2009-12-01,8330
2010-01-01,8190
2010-02-01,8278
2010-03-01,8059
2010-04-01,8083
2010-05-01,8164
2010-06-01,8134
2010-07-01,8234
2010-08-01,8212
2010-09-01,8117
2010-10-01,8453
2010-11-01,8478
2010-12-01,8344
2011-01-01,8388
2011-02-01,8411
2011-03-01,8269
2011-04-01,8321
2011-05-01,8246
2011-06-01,8127
2011-07-01,8281
2011-08-01,8487
2011-09-01,8423
2011-10-01,8573
2011-11-01,8290
2011-12-01,8226
2012-01-01,8426
2012-02-01,8624
2012-03-01,8515
2012-04-01,8476
2012-05-01,8306
2012-06-01,8425
2012-07-01,8606
2012-08-01,8718
2012-09-01,8818
2012-10-01,9099
2012-11-01,8965
2012-12-01,8797
2013-01-01,8653
2013-02-01,8735
2013-03-01,8756
2013-04-01,8646
2013-05-01,8726
2013-06-01,8585
2013-07-01,8871
2013-08-01,8966
2013-09-01,8906
2013-10-01,9043
2013-11-01,8990
2013-12-01,8765
2014-01-01,8525
2014-02-01,8786
2014-03-01,8560
2014-04-01,8780
2014-05-01,8618
2014-06-01,8492
2014-07-01,8873
2014-08-01,8843
2014-09-01,8819
2014-10-01,8982
2014-11-01,8792
2014-12-01,8583
2015-01-01,8677
2015-02-01,8583
2015-03-01,8457
2015-04-01,8676
2015-05-01,8567
2015-06-01,8623
2015-07-01,8535
2015-08-01,8487
2015-09-01,8477
2015-10-01,8773
2015-11-01,8809
2015-12-01,8695
2016-01-01,8698
2016-02-01,8910
2016-03-01,8825
2016-04-01,8815
2016-05-01,8798
2016-06-01,8723
2016-07-01,8886
2016-08-01,8890
2016-09-01,8763
2016-10-01,8925
2016-11-01,8848
2016-12-01,8925
2017-01-01,8948
2017-02-01,8947
2017-03-01,9051
2017-04-01,8960
2017-05-01,8719
2017-06-01,8889
2017-07-01,8871
2017-08-01,8897
2017-09-01,8873
2017-10-01,8854
2017-11-01,8909
2017-12-01,8849
2018-01-01,8963
2018-02-01,9054
2018-03-01,9006
2018-04-01,9196
2018-05-01,9109
2018-06-01,9142
2018-07-01,9150
2018-08-01,8967
2018-09-01,8950
2018-10-01,9032
2018-11-01,9002
2018-12-01,8772
2019-01-01,8781
2019-02-01,8875
2019-03-01,8866
2019-04-01,9150
2019-05-01,9276
2019-06-01,9059
2019-07-01,9185
2019-08-01,8971
2019-09-01,8856
2019-10-01,9080
2019-11-01,9057
2019-12-01,9006
2020-01-01,8796
2020-02-01,9153
2020-03-01,9116
2020-04-01,8832
2020-05-01,8843
2020-06-01,8815
2020-07-01,9104
2020-08-01,8890
2020-09-01,8953
2020-10-01,8794
2020-11-01,8846
2020-12-01,8978
2021-01-01,8672
2021-02-01,8727
2021-03-01,8938
2021-04-01,8713
2021-05-01,8737
2021-06-01,8776
2021-07-01,8937
2021-08-01,8602
2021-09-01,8779
2021-10-01,8648
2021-11-01,8572
2021-12-01,8650
2022-01-01,8682
2022-02-01,8773
2022-03-01,8942
2022-04-01,8782
2022-05-01,8574
2022-06-01,8836
2022-07-01,8713
2022-08-01,8401
2022-09-01,8789
2022-10-01,8926
2022-11-01,9097
2022-12-01,8964
2023-01-01,9012
2023-02-01,8911
2023-03-01,9000
2023-04-01,9013
2023-05-01,8903
2023-06-01,8771
2023-07-01,8894
2023-08-01,8684
2023-09-01,9002
2023-10-01,9123
2023-11-01,9185
