"Date","M0892BUSM156SNBR"
1940-01-01,15.53
1940-02-01,NA
1940-03-01,15.03
1940-04-01,15.82
1940-05-01,15.5
1940-06-01,13.38
1940-07-01,14.11
1940-08-01,14.94
1940-09-01,13.32
1940-10-01,14.76
1940-11-01,14.25
1940-12-01,13.41
1941-01-01,12.13
1941-02-01,11.72
1941-03-01,11.86
1941-04-01,12.24
1941-05-01,10.91
1941-06-01,9.84
1941-07-01,9.2
1941-08-01,9.53
1941-09-01,9
1941-10-01,7.8
1941-11-01,7.37
1941-12-01,6.91
1942-01-01,7
1942-02-01,6.71
1942-03-01,6.34
1942-04-01,5.75
1942-05-01,4.94
1942-06-01,4.57
1942-07-01,4.33
1942-08-01,3.74
1942-09-01,3.26
1942-10-01,3.23
1942-11-01,3.12
1942-12-01,2.88
1943-01-01,2.4
1943-02-01,2.37
1943-03-01,2.02
1943-04-01,1.93
1943-05-01,1.82
1943-06-01,2.08
1943-07-01,2.16
1943-08-01,1.81
1943-09-01,1.71
1943-10-01,1.62
1943-11-01,1.4
1943-12-01,1.35
1944-01-01,1.35
1944-02-01,1.18
1944-03-01,1.27
1944-04-01,1.22
1944-05-01,1.42
1944-06-01,1.44
1944-07-01,1.41
1944-08-01,1.2
1944-09-01,1.19
1944-10-01,0.91
1944-11-01,0.99
1944-12-01,1
1945-01-01,1.05
1945-02-01,1.1
1945-03-01,1.07
1945-04-01,1.02
1945-05-01,1.05
1945-06-01,1.47
1945-07-01,1.54
1945-08-01,1.51
1945-09-01,3.4
1945-10-01,3.33
1945-11-01,3.53
1945-12-01,3.92
1946-01-01,3.96
1946-02-01,3.96
1946-03-01,4.21
1946-04-01,3.9
1946-05-01,4.26
1946-06-01,4.02
1946-07-01,3.54
1946-08-01,3.73
1946-09-01,3.97
1946-10-01,4
1946-11-01,3.96
1946-12-01,4.16
