"Date","NERICH7LFN"
1990-01-01,4369
1990-02-01,4350
1990-03-01,4404
1990-04-01,4475
1990-05-01,4512
1990-06-01,4625
1990-07-01,4570
1990-08-01,4471
1990-09-01,4392
1990-10-01,4481
1990-11-01,4370
1990-12-01,4349
1991-01-01,4473
1991-02-01,4512
1991-03-01,4520
1991-04-01,4607
1991-05-01,4644
1991-06-01,4771
1991-07-01,4833
1991-08-01,4742
1991-09-01,4588
1991-10-01,4682
1991-11-01,4664
1991-12-01,4573
1992-01-01,4633
1992-02-01,4643
1992-03-01,4653
1992-04-01,4704
1992-05-01,4671
1992-06-01,4822
1992-07-01,4800
1992-08-01,4751
1992-09-01,4649
1992-10-01,4682
1992-11-01,4634
1992-12-01,4687
1993-01-01,4667
1993-02-01,4766
1993-03-01,4767
1993-04-01,4815
1993-05-01,4809
1993-06-01,4934
1993-07-01,4863
1993-08-01,4841
1993-09-01,4687
1993-10-01,4703
1993-11-01,4827
1993-12-01,4786
1994-01-01,4588
1994-02-01,4712
1994-03-01,4801
1994-04-01,4707
1994-05-01,4684
1994-06-01,4792
1994-07-01,4705
1994-08-01,4695
1994-09-01,4516
1994-10-01,4697
1994-11-01,4711
1994-12-01,4796
1995-01-01,4764
1995-02-01,4702
1995-03-01,4770
1995-04-01,4741
1995-05-01,4709
1995-06-01,4752
1995-07-01,4787
1995-08-01,4696
1995-09-01,4591
1995-10-01,4707
1995-11-01,4712
1995-12-01,4756
1996-01-01,4766
1996-02-01,4773
1996-03-01,4765
1996-04-01,4787
1996-05-01,4781
1996-06-01,4825
1996-07-01,4686
1996-08-01,4628
1996-09-01,4568
1996-10-01,4628
1996-11-01,4616
1996-12-01,4576
1997-01-01,4629
1997-02-01,4612
1997-03-01,4614
1997-04-01,4658
1997-05-01,4613
1997-06-01,4694
1997-07-01,4678
1997-08-01,4655
1997-09-01,4466
1997-10-01,4477
1997-11-01,4401
1997-12-01,4442
1998-01-01,4538
1998-02-01,4461
1998-03-01,4452
1998-04-01,4505
1998-05-01,4531
1998-06-01,4537
1998-07-01,4547
1998-08-01,4457
1998-09-01,4350
1998-10-01,4324
1998-11-01,4299
1998-12-01,4315
1999-01-01,4495
1999-02-01,4479
1999-03-01,4489
1999-04-01,4332
1999-05-01,4460
1999-06-01,4570
1999-07-01,4512
1999-08-01,4458
1999-09-01,4277
1999-10-01,4266
1999-11-01,4319
1999-12-01,4320
2000-01-01,4741
2000-02-01,4812
2000-03-01,4786
2000-04-01,4709
2000-05-01,4645
2000-06-01,4771
2000-07-01,4763
2000-08-01,4648
2000-09-01,4570
2000-10-01,4653
2000-11-01,4607
2000-12-01,4635
2001-01-01,4712
2001-02-01,4664
2001-03-01,4695
2001-04-01,4725
2001-05-01,4702
2001-06-01,4767
2001-07-01,4760
2001-08-01,4646
2001-09-01,4538
2001-10-01,4656
2001-11-01,4631
2001-12-01,4627
2002-01-01,4637
2002-02-01,4664
2002-03-01,4622
2002-04-01,4598
2002-05-01,4596
2002-06-01,4617
2002-07-01,4552
2002-08-01,4462
2002-09-01,4390
2002-10-01,4471
2002-11-01,4492
2002-12-01,4488
2003-01-01,4525
2003-02-01,4556
2003-03-01,4616
2003-04-01,4545
2003-05-01,4556
2003-06-01,4670
2003-07-01,4548
2003-08-01,4421
2003-09-01,4399
2003-10-01,4488
2003-11-01,4490
2003-12-01,4485
2004-01-01,4510
2004-02-01,4486
2004-03-01,4502
2004-04-01,4469
2004-05-01,4487
2004-06-01,4597
2004-07-01,4534
2004-08-01,4452
2004-09-01,4359
2004-10-01,4321
2004-11-01,4320
2004-12-01,4339
2005-01-01,4415
2005-02-01,4402
2005-03-01,4426
2005-04-01,4356
2005-05-01,4394
2005-06-01,4471
2005-07-01,4417
2005-08-01,4338
2005-09-01,4320
2005-10-01,4359
2005-11-01,4404
2005-12-01,4364
2006-01-01,4315
2006-02-01,4343
2006-03-01,4341
2006-04-01,4427
2006-05-01,4364
2006-06-01,4449
2006-07-01,4407
2006-08-01,4376
2006-09-01,4416
2006-10-01,4368
2006-11-01,4289
2006-12-01,4300
2007-01-01,4257
2007-02-01,4245
2007-03-01,4244
2007-04-01,4273
2007-05-01,4327
2007-06-01,4463
2007-07-01,4389
2007-08-01,4202
2007-09-01,4180
2007-10-01,4317
2007-11-01,4223
2007-12-01,4150
2008-01-01,4112
2008-02-01,4099
2008-03-01,4172
2008-04-01,4230
2008-05-01,4238
2008-06-01,4363
2008-07-01,4305
2008-08-01,4279
2008-09-01,4177
2008-10-01,4181
2008-11-01,4159
2008-12-01,4175
2009-01-01,4098
2009-02-01,4090
2009-03-01,4142
2009-04-01,4210
2009-05-01,4261
2009-06-01,4405
2009-07-01,4337
2009-08-01,4300
2009-09-01,4184
2009-10-01,4120
2009-11-01,4160
2009-12-01,4132
2010-01-01,4244
2010-02-01,4276
2010-03-01,4324
2010-04-01,4375
2010-05-01,4363
2010-06-01,4434
2010-07-01,4342
2010-08-01,4273
2010-09-01,4312
2010-10-01,4307
2010-11-01,4321
2010-12-01,4302
2011-01-01,4317
2011-02-01,4305
2011-03-01,4336
2011-04-01,4383
2011-05-01,4422
2011-06-01,4521
2011-07-01,4463
2011-08-01,4431
2011-09-01,4463
2011-10-01,4430
2011-11-01,4392
2011-12-01,4416
2012-01-01,4355
2012-02-01,4384
2012-03-01,4383
2012-04-01,4371
2012-05-01,4466
2012-06-01,4542
2012-07-01,4476
2012-08-01,4349
2012-09-01,4421
2012-10-01,4369
2012-11-01,4298
2012-12-01,4338
2013-01-01,4295
2013-02-01,4368
2013-03-01,4337
2013-04-01,4396
2013-05-01,4429
2013-06-01,4492
2013-07-01,4470
2013-08-01,4351
2013-09-01,4320
2013-10-01,4253
2013-11-01,4258
2013-12-01,4234
2014-01-01,4218
2014-02-01,4234
2014-03-01,4259
2014-04-01,4280
2014-05-01,4344
2014-06-01,4389
2014-07-01,4355
2014-08-01,4273
2014-09-01,4309
2014-10-01,4267
2014-11-01,4200
2014-12-01,4219
2015-01-01,4242
2015-02-01,4243
2015-03-01,4281
2015-04-01,4300
2015-05-01,4410
2015-06-01,4437
2015-07-01,4407
2015-08-01,4392
2015-09-01,4263
2015-10-01,4278
2015-11-01,4267
2015-12-01,4285
2016-01-01,4269
2016-02-01,4247
2016-03-01,4302
2016-04-01,4262
2016-05-01,4295
2016-06-01,4408
2016-07-01,4305
2016-08-01,4302
2016-09-01,4216
2016-10-01,4174
2016-11-01,4184
2016-12-01,4168
2017-01-01,4152
2017-02-01,4191
2017-03-01,4255
2017-04-01,4289
2017-05-01,4351
2017-06-01,4422
2017-07-01,4361
2017-08-01,4235
2017-09-01,4203
2017-10-01,4164
2017-11-01,4185
2017-12-01,4205
2018-01-01,4233
2018-02-01,4223
2018-03-01,4312
2018-04-01,4331
2018-05-01,4345
2018-06-01,4421
2018-07-01,4376
2018-08-01,4246
2018-09-01,4247
2018-10-01,4219
2018-11-01,4269
2018-12-01,4265
2019-01-01,4270
2019-02-01,4279
2019-03-01,4329
2019-04-01,4296
2019-05-01,4377
2019-06-01,4434
2019-07-01,4317
2019-08-01,4254
2019-09-01,4262
2019-10-01,4243
2019-11-01,4275
2019-12-01,4298
2020-01-01,4259
2020-02-01,4315
2020-03-01,4350
2020-04-01,4351
2020-05-01,4239
2020-06-01,4340
2020-07-01,4258
2020-08-01,4181
2020-09-01,4184
2020-10-01,4181
2020-11-01,4175
2020-12-01,4208
2021-01-01,4232
2021-02-01,4267
2021-03-01,4310
2021-04-01,4307
2021-05-01,4299
2021-06-01,4388
2021-07-01,4402
2021-08-01,4305
2021-09-01,4286
2021-10-01,4193
2021-11-01,4148
2021-12-01,4191
2022-01-01,4174
2022-02-01,4162
2022-03-01,4205
2022-04-01,4200
2022-05-01,4216
2022-06-01,4300
2022-07-01,4297
2022-08-01,4227
2022-09-01,4149
2022-10-01,4134
2022-11-01,4130
2022-12-01,4186
2023-01-01,4180
2023-02-01,4196
2023-03-01,4176
2023-04-01,4173
2023-05-01,4174
2023-06-01,4235
2023-07-01,4097
2023-08-01,4051
2023-09-01,4057
2023-10-01,4018
