"Date","NYFULT0LFN"
1990-01-01,27353
1990-02-01,26781
1990-03-01,26772
1990-04-01,26483
1990-05-01,26788
1990-06-01,27425
1990-07-01,27026
1990-08-01,26954
1990-09-01,26523
1990-10-01,26265
1990-11-01,26469
1990-12-01,26514
1991-01-01,27347
1991-02-01,27251
1991-03-01,26986
1991-04-01,26946
1991-05-01,27356
1991-06-01,27911
1991-07-01,26552
1991-08-01,26656
1991-09-01,26512
1991-10-01,26995
1991-11-01,27161
1991-12-01,26892
1992-01-01,27118
1992-02-01,26855
1992-03-01,26594
1992-04-01,26796
1992-05-01,26728
1992-06-01,27842
1992-07-01,26971
1992-08-01,26990
1992-09-01,26734
1992-10-01,26597
1992-11-01,26852
1992-12-01,27001
1993-01-01,27512
1993-02-01,27574
1993-03-01,27553
1993-04-01,26946
1993-05-01,27333
1993-06-01,27845
1993-07-01,26713
1993-08-01,26872
1993-09-01,26681
1993-10-01,26700
1993-11-01,26759
1993-12-01,26645
1994-01-01,27395
1994-02-01,27456
1994-03-01,27377
1994-04-01,27257
1994-05-01,27443
1994-06-01,28567
1994-07-01,27663
1994-08-01,27551
1994-09-01,27419
1994-10-01,27422
1994-11-01,27467
1994-12-01,27186
1995-01-01,27451
1995-02-01,27412
1995-03-01,27130
1995-04-01,27208
1995-05-01,27265
1995-06-01,28186
1995-07-01,28295
1995-08-01,27638
1995-09-01,27212
1995-10-01,27326
1995-11-01,27197
1995-12-01,26991
1996-01-01,27151
1996-02-01,27105
1996-03-01,27039
1996-04-01,26566
1996-05-01,27336
1996-06-01,27828
1996-07-01,27392
1996-08-01,27508
1996-09-01,26998
1996-10-01,27119
1996-11-01,26983
1996-12-01,27012
1997-01-01,27347
1997-02-01,27196
1997-03-01,27231
1997-04-01,27153
1997-05-01,27700
1997-06-01,28387
1997-07-01,27875
1997-08-01,27851
1997-09-01,27371
1997-10-01,27260
1997-11-01,27441
1997-12-01,27357
1998-01-01,27582
1998-02-01,27198
1998-03-01,27270
1998-04-01,27102
1998-05-01,27315
1998-06-01,27601
1998-07-01,27249
1998-08-01,27210
1998-09-01,26632
1998-10-01,26442
1998-11-01,26614
1998-12-01,26088
1999-01-01,27129
1999-02-01,26827
1999-03-01,27014
1999-04-01,26704
1999-05-01,27042
1999-06-01,28294
1999-07-01,27617
1999-08-01,27512
1999-09-01,26705
1999-10-01,26661
1999-11-01,26545
1999-12-01,26431
2000-01-01,26481
2000-02-01,26267
2000-03-01,26321
2000-04-01,26135
2000-05-01,26044
2000-06-01,26661
2000-07-01,26674
2000-08-01,26545
2000-09-01,25873
2000-10-01,26079
2000-11-01,25953
2000-12-01,26068
2001-01-01,26528
2001-02-01,26045
2001-03-01,26078
2001-04-01,26137
2001-05-01,25944
2001-06-01,26791
2001-07-01,26319
2001-08-01,26612
2001-09-01,26190
2001-10-01,26029
2001-11-01,26077
2001-12-01,26554
2002-01-01,26730
2002-02-01,26521
2002-03-01,26570
2002-04-01,26487
2002-05-01,26797
2002-06-01,27565
2002-07-01,27330
2002-08-01,27586
2002-09-01,26885
2002-10-01,26720
2002-11-01,26670
2002-12-01,27146
2003-01-01,26854
2003-02-01,26762
2003-03-01,26343
2003-04-01,26525
2003-05-01,26401
2003-06-01,27327
2003-07-01,26664
2003-08-01,26715
2003-09-01,25922
2003-10-01,26292
2003-11-01,25908
2003-12-01,26266
2004-01-01,26726
2004-02-01,26289
2004-03-01,26216
2004-04-01,26229
2004-05-01,26681
2004-06-01,27325
2004-07-01,27075
2004-08-01,27351
2004-09-01,26577
2004-10-01,26387
2004-11-01,26600
2004-12-01,26763
2005-01-01,26685
2005-02-01,26692
2005-03-01,26400
2005-04-01,26540
2005-05-01,26592
2005-06-01,27502
2005-07-01,27559
2005-08-01,27636
2005-09-01,26956
2005-10-01,26968
2005-11-01,26976
2005-12-01,26958
2006-01-01,27251
2006-02-01,27141
2006-03-01,27047
2006-04-01,27153
2006-05-01,27238
2006-06-01,28129
2006-07-01,27969
2006-08-01,28088
2006-09-01,27208
2006-10-01,27295
2006-11-01,27344
2006-12-01,27379
2007-01-01,27550
2007-02-01,27111
2007-03-01,27106
2007-04-01,26978
2007-05-01,27051
2007-06-01,27817
2007-07-01,27554
2007-08-01,27499
2007-09-01,27176
2007-10-01,27185
2007-11-01,27208
2007-12-01,27222
2008-01-01,27421
2008-02-01,27211
2008-03-01,27299
2008-04-01,27171
2008-05-01,27264
2008-06-01,27968
2008-07-01,27602
2008-08-01,27720
2008-09-01,27581
2008-10-01,27529
2008-11-01,27299
2008-12-01,27301
2009-01-01,27453
2009-02-01,27194
2009-03-01,27131
2009-04-01,27262
2009-05-01,27242
2009-06-01,27935
2009-07-01,27508
2009-08-01,27610
2009-09-01,26964
2009-10-01,26925
2009-11-01,27034
2009-12-01,26916
2010-01-01,26439
2010-02-01,26214
2010-03-01,26319
2010-04-01,26295
2010-05-01,26151
2010-06-01,26593
2010-07-01,26320
2010-08-01,26224
2010-09-01,25812
2010-10-01,25900
2010-11-01,25865
2010-12-01,25643
2011-01-01,25878
2011-02-01,25797
2011-03-01,25774
2011-04-01,25606
2011-05-01,25541
2011-06-01,25965
2011-07-01,25446
2011-08-01,25652
2011-09-01,25446
2011-10-01,25444
2011-11-01,25257
2011-12-01,25428
2012-01-01,25595
2012-02-01,25623
2012-03-01,25614
2012-04-01,25250
2012-05-01,25246
2012-06-01,25778
2012-07-01,25428
2012-08-01,25360
2012-09-01,25140
2012-10-01,25314
2012-11-01,24995
2012-12-01,25103
2013-01-01,25122
2013-02-01,25008
2013-03-01,24824
2013-04-01,24670
2013-05-01,24900
2013-06-01,25287
2013-07-01,24903
2013-08-01,24925
2013-09-01,24506
2013-10-01,24390
2013-11-01,24180
2013-12-01,23968
2014-01-01,23783
2014-02-01,23719
2014-03-01,23673
2014-04-01,23316
2014-05-01,23300
2014-06-01,23731
2014-07-01,23271
2014-08-01,23326
2014-09-01,23172
2014-10-01,23279
2014-11-01,23174
2014-12-01,23147
2015-01-01,23626
2015-02-01,23449
2015-03-01,23506
2015-04-01,23339
2015-05-01,23483
2015-06-01,23871
2015-07-01,23482
2015-08-01,23508
2015-09-01,23295
2015-10-01,23142
2015-11-01,23035
2015-12-01,23171
2016-01-01,23497
2016-02-01,23409
2016-03-01,23468
2016-04-01,23242
2016-05-01,23291
2016-06-01,23627
2016-07-01,23266
2016-08-01,23359
2016-09-01,23149
2016-10-01,22930
2016-11-01,22791
2016-12-01,22818
2017-01-01,23578
2017-02-01,23553
2017-03-01,23541
2017-04-01,23554
2017-05-01,23645
2017-06-01,23951
2017-07-01,23774
2017-08-01,23833
2017-09-01,23672
2017-10-01,23344
2017-11-01,23312
2017-12-01,23283
2018-01-01,23394
2018-02-01,23300
2018-03-01,23317
2018-04-01,23135
2018-05-01,23311
2018-06-01,23700
2018-07-01,23542
2018-08-01,23473
2018-09-01,23219
2018-10-01,23152
2018-11-01,23109
2018-12-01,23085
2019-01-01,23275
2019-02-01,23014
2019-03-01,23096
2019-04-01,22903
2019-05-01,23101
2019-06-01,23490
2019-07-01,22621
2019-08-01,22754
2019-09-01,23346
2019-10-01,23186
2019-11-01,23074
2019-12-01,23192
2020-01-01,23403
2020-02-01,23237
2020-03-01,23379
2020-04-01,22858
2020-05-01,23062
2020-06-01,23587
2020-07-01,22758
2020-08-01,22575
2020-09-01,23044
2020-10-01,22857
2020-11-01,22797
2020-12-01,22808
2021-01-01,22955
2021-02-01,22714
2021-03-01,22920
2021-04-01,22529
2021-05-01,22627
2021-06-01,23032
2021-07-01,22214
2021-08-01,22194
2021-09-01,22696
2021-10-01,22301
2021-11-01,22211
2021-12-01,22184
2022-01-01,22646
2022-02-01,22431
2022-03-01,22473
2022-04-01,22329
2022-05-01,22582
2022-06-01,22882
2022-07-01,21981
2022-08-01,22135
2022-09-01,22642
2022-10-01,22505
2022-11-01,22279
2022-12-01,22316
2023-01-01,22551
2023-02-01,22459
2023-03-01,22540
2023-04-01,21988
2023-05-01,22298
2023-06-01,23000
2023-07-01,22386
2023-08-01,22424
2023-09-01,23018
2023-10-01,22874
